category,ProductFamily,nid,WebsitePosition,ProductId,Model,Price,Frame,Fork,Rims,Hubs,Spokes,Tires,Pedals,Crank,BottomBracket,Chain,RearCogs,FrontDerailleur,RearDerailleur,Shifters,Handlebar,Grips,Stem,Headset,Brakes,BrakeLevers,Saddle,Seatpost,Sizes,Weight,RearShock,CrankOption,Extras,Display,Battery,Charger,DriveUnit
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,9,478ea1a9-5c46-412b-b914-46043bfecbc9,SuperSix EVO Carbon Dura-Ace,"$4,850","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer","Cannondale HollowGram Si, Carbon Clincher, 35mm deep, 17mm inner width",Cannondale HollowGram Sealed Bearing,"Double-butted, Stainless","Vittoria Corsa, 700 x 25c",Not Included,"Cannondale HollowGram Si, BB30a w/ OPI SpideRing, 52/36",Cannondale Alloy PressFit30,"Shimano HG701, 11-speed","Shimano Ultegra, 11-30, 11-speed","Shimano Dura-Ace, braze-on",Shimano Dura-Ace,"Shimano Dura-Ace, 2x11","Cannondale C1 Ultralight, 7050 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano Dura-Ace,Shimano Dura-Ace,Prologo Nago EVO PAS T2.0,"Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",7.1 kg / 15.7 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,10,f3e82f2c-7356-45b0-9771-f1376487398f,SuperSix EVO Carbon Ultegra Race,"$3,675","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer","Cannondale HollowGram Si, Carbon Clincher, 35mm deep, 17mm inner width, 18h front, 24h rear",Cannondale HollowGram Sealed Bearing,"Double-butted, Stainless","Vittoria Rubino Pro Speed, 700 x 25c",Not Included,"Cannondale HollowGram Si, BB30a w/ power2max NG Eco Power Meter - Pre-Installed, Not Activated and FSA rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-30, 11-speed","Shimano Ultegra, braze-on",Shimano Ultegra,"Shimano Ultegra, 2x11","Cannondale C1 Ultralight, 7050 Alloy, Compact","Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano Ultegra,Shimano Ultegra,Prologo Nago EVO PAS T2.0,"Cannondale C2, UD Carbon, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",7.3 kg / 16.1 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,11,3a74d34b-2c01-4519-81c7-a21432ffa942,SuperSix EVO Carbon Disc Ultegra,"$3,150","SuperSix EVO Disc, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO Disc, SAVE, BallisTec full Carbon, 1-1/8"" to 1-1/4"" steerer, integrated crown race, 12x100mm thru-axle","Fulcrum Racing 600 DB, Alloy clincher, 26mm deep","Fulcrum Racing 600 DB, 12x100 front, 9x135 rear",Fulcrum Racing 600 DB,"Vittoria Zaffiro Pro Slick, 700 x 25c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105 7000, 11-30, 11-speed","Shimano Ultegra, braze-on",Shimano Ultegra,"Shimano Ultegra, 2x11","Cannondale C2, 7050 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C2, 6061 Alloy, 31.8, 7-degree","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap","Shimano Ultegra hydro disc, 160/140mm RT81 rotors",Shimano Ultegra hydro disc,Prologo Nago RS STN,"Cannondale C2, UD Carbon, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",8.0 kg / 17.7 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,12,67d7d765-b3d6-453d-b1f1-6cfd36e7b120,SuperSix EVO Carbon Ultegra,"$2,750","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer",Fulcrum Racing Sport,Fulcrum Racing Sport,Fulcrum Racing Sport,"Vittoria Zaffiro Pro Slick, 700 x 25c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-30, 11-speed","Shimano Ultegra, braze-on",Shimano Ultegra,"Shimano Ultegra, 2x11","Cannondale C2, 7050 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C2, 6061 Alloy, 31.8, 7-degree","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano Ultegra,Shimano Ultegra,Prologo Nago RS STN,"Cannondale C2, UD Carbon, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",7.9 kg / 17.4 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,13,121a7811-f905-4174-a0d2-76c3ef813e39,SuperSix EVO 105,"$1,900","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer",Fulcrum Racing Sport,Fulcrum Racing Sport,Fulcrum Racing Sport,"Vittoria Zaffiro Pro Slick, 700 x 25c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105 7000, 11-30, 11-speed","Shimano 105 7000, braze-on",Shimano 105 7000,"Shimano 105 7000, 2x11","Cannondale C3, 6061 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C3, 6061 Alloy, 31.8, 7-degree","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano 105 7000,Shimano 105 7000,Prologo Nago RS STN,"Cannondale C3, 6061 Alloy, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",7.9 kg / 17.5 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,14,a5fd76eb-b07e-480f-9682-33ca0a173f30,SuperSix EVO Hi-MOD Disc Team [2018],"$11,000","SuperSix EVO Disc, BallisTec Hi-MOD Carbon, Di2 Compatible, SAVE, PressFit BB30a","SuperSix EVO Disc, SAVE, BallisTec Hi-MOD full Carbon, 1-1/8"" to 1-1/4"" steerer, integrated crown race, 100x12mm thru-axle",Mavic Cosmic Pro Carbon SL Disc WTS,"Mavic Cosmic Pro Carbon SL Disc, 100x12 thru front, 135x9mm QR rear.",Mavic Cosmic Pro Carbon SL Disc,"Mavic Yksion Pro SSC GripLink (F) / PowerLink (RR), folding, 700x25c",Not included,"Cannondale HollowGram SiSL2, BB30a, w/ OPI SpideRing SL, 52/36",Cannondale Alloy PressFit30,"Shimano HG901, 11-speed","Shimano Dura-Ace R9100, 11-28, 11-speed","Shimano Dura-Ace Di2 9150, braze-on",Shimano Dura-Ace Di2 9150,Shimano Dura-Ace Di2 9170 hydro disc,FSA K-Force Carbon Compact,Fi'zi:k Team,FSA OS-98 CSI,"SuperSix EVO, 1-1/4"" lower bearing, 25mm carbon top cap","Shimano Dura-Ace 9170, hydro disc, flat mount, 160/140mm",Shimano Dura-Ace Di2 9170 hydro disc,Fi'zi:k Arione R3 w/ K:ium Rail,"FSA K-Force Carbon, 25.4x350mm","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,15,a96ff1f6-bb0a-463c-9d45-0ae578fa94d3,SuperSix EVO Hi-MOD Dura-Ace Di2 [2018],"$10,000","SuperSix EVO, BallisTec Hi-MOD Carbon, Di2 Compatible, SAVE, PressFit BB30a","SuperSix EVO, SAVE, BallisTec Hi-MOD full Carbon, 1-1/8"" to 1-1/4"" steerer, integrated crown race.",Mavic Cosmic Pro Carbon SL WTS,"Mavic Cosmic Pro Carbon SL, 100x9mm QR front, 130x9mm QR rear",Mavic Cosmic Pro Carbon SL,"Mavic Yksion Pro SSC GripLink (F) / PowerLink (RR), folding, 700x25c",Not included,"Cannondale HollowGram SiSL2, BB30a, w/ OPI SpideRing SL, 52/36",Cannondale Alloy PressFit30,"Shimano HG901, 11-speed","Shimano Dura-Ace R9100, 11-28, 11-speed","Shimano Dura-Ace Di2 9150, braze-on",Shimano Dura-Ace Di2 9150,Shimano Dura-Ace Di2 9150,Cannondale Escape Hanger Carbon,Fi'zi:k SuperLight Tacky,"Cannondale C1 Ultralight, 2014 Alloy, 31.8, 6 deg. w/ integrated Garmin Mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm carbon top cap",Shimano Dura-Ace 9100,Shimano Dura-Ace Di2 9150,Fi'zi:k Antares R3 w/ K:ium Rail,"Cannondale SAVE Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,16,8fcc3aa9-14c2-404d-8033-a3297fd1cde5,SuperSix EVO Hi-MOD RED eTap [2018],"$7,500","SuperSix EVO, BallisTec Hi-MOD Carbon, Di2 Compatible, SAVE, PressFit BB30a","SuperSix EVO, SAVE, BallisTec Hi-MOD full Carbon, 1-1/8"" to 1-1/4"" steerer, integrated crown race.","Cannondale HollowGram SL Carbon Clincher, 17mm inner, 35mm deep","Cannondale HollowGram SL, sealed bearing, QR, 18h (F), 24h (RR)","HollowGram bladed, 1.8/2.0","Vittoria Corsa, Folding, 700x25c",Not included,"SRAM RED, BB30a, 52/36",Cannondale Alloy PressFit30,"SRAM PC-1170, 11-speed","SRAM PG 1170, 11-28, 11-speed","SRAM RED eTap, braze-on",SRAM RED eTap,SRAM RED eTap,Cannondale Escape Hanger Carbon,Fi'zi:k SuperLight Tacky,"Cannondale C1 Ultralight, 2014 Alloy, 31.8, 6 deg. w/ integrated Garmin Mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm carbon top cap",SRAM RED,SRAM RED eTap,Fi'zi:k Antares R5 w/ K:ium Rail,"Cannondale SAVE Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,17,f728e395-9612-4574-bfcf-8958dca22444,SuperSix EVO Hi-MOD Disc Dura-Ace [2018],"$6,500","SuperSix EVO Disc, BallisTec Hi-MOD Carbon, Di2 Compatible, SAVE, PressFit BB30a","SuperSix EVO Disc, SAVE, BallisTec Hi-MOD full Carbon, 1-1/8"" to 1-1/4"" steerer, integrated crown race, 100x12mm thru-axle","Cannondale HollowGram Si Disc Carbon Clincher, 19mm inner, 35mm deep, tubeless ready","Cannondale HollowGram Si Disc, straight-pull, SRAM Maxle Stealth 12x100 thru-axle front 24h, 135x9 QR rear, 28h, Center-lock","DT Swiss Aerolite, straight pull","Vittoria Corsa, Folding, 700x25c",Not included,"Cannondale HollowGram Si, BB30a, w/ OPI SpideRing, 52/36",Cannondale Alloy PressFit30,"Shimano HG701, 11-speed","Shimano Ultegra R8000, 11-28, 11-speed","Shimano Dura-Ace 9100, braze-on",Shimano Dura-Ace 9100,Shimano Dura-Ace R9120 hydro disc,"Cannondale C1 Ultralight, 7050 Alloy, Compact",Fi'zi:k Superlight Tacky,"Cannondale C1 Ultralight, 2014 Alloy, 31.8, 6 deg. w/ integrated Garmin Mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm carbon top cap","Shimano Dura-Ace R9170 hydro disc, flat mount, 160/140mm",Shimano Dura-Ace R9120 hydro disc,Fi'zi:k Antares R5 w/ K:ium Rail,"Cannondale SAVE Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,18,ab2f6d29-bfbd-4c10-9573-82905299924a,SuperSix EVO RED eTap [2018],"$6,000","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer","Cannondale HollowGram SL Carbon Clincher, 17mm inner, 35mm deep","Cannondale HollowGram SL, sealed bearing, 18h (F), 24h (RR)","HollowGram bladed, 1.8/2.0",Vittoria Corsa 700x25c,Not included,"Quarq Prime Carbon, 52/36",Cannondale Alloy PressFit30A,"SRAM PC-1170, 11-speed","SRAM PG 1170, 11-28, 11-speed","SRAM RED eTap, braze-on",SRAM RED eTap,SRAM RED eTap,"Cannondale C1 Ultralight, 7050 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 2014 Alloy, 31.8, 6 deg. w/ integrated Garmin Mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm carbon top cap",SRAM Force,SRAM RED eTap,Fi'zi:k Antares R5 w/ K:ium Rail,"Cannondale SAVE Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,19,a99a4630-c471-43d5-a56f-31a3d25fda86,SuperSix EVO Dura-Ace [2018],"$5,000","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer","Cannondale HollowGram Si Carbon Clincher, 17mm inner, 35mm deep","Cannondale HollowGram, sealed bearing, QR, 18h (F), 24h (RR)",HollowGram double butted 1.8/2.0,Vittoria Corsa 700x25c,Not included,"Cannondale HollowGram Si, BB30a, OPI SpideRing 52/36",Cannondale Alloy PressFit30,"Shimano HG701, 11-speed","Shimano Ultegra R8000, 11-28, 11-speed","Shimano Dura-Ace 9100, braze-on",Shimano Dura-Ace 9100,Shimano Dura-Ace 9100,"Cannondale C1 Ultralight, 7050 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 2014 Alloy, 31.8, 6 deg. w/ integrated Garmin Mount","SuperSix EVO, 1-1/4"" lower bearing, 25mm carbon top cap",Shimano Dura-Ace 9100,Shimano Dura-Ace 9100,Fi'zi:k Antares R5 w/ K:ium Rail,"Cannondale SAVE Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,20,444f0b69-bfb6-44c7-912d-77d7255ab551,SuperSix EVO Disc Ultegra Di2 [2018],"$4,000","SuperSix EVO Disc, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon Disc, SAVE, 1-1/8"" to 1-1/4"" steerer, integrated crown race, 100x12mm thru-axle",Mavic Aksium Disc,"Mavic Aksium Disc Centerlock, 100x12 thru front, 135x9mm QR rear",Mavic Aksium,"Schwalbe Lugano, folding, 700x25c (CE Mavic Yksion Elite, Folding, 700x25)",Not included,"Cannondale Si, BB30a, w/ FSA Rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano Ultegra R8000, 11-28, 11-speed","Shimano Ultegra Di2 R8050, braze-on",Shimano Ultegra Di2 R8050,Shimano Ultegra Di2 R8070,"Cannondale C2, 2014 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C2, 7050 Alloy, 31.8, 6 deg.","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap","Shimano Ultegra R8020 hydro disc, flat mount, 160/140mm",Shimano Ultegra Di2 R8070 hydro disc,Selle Royal Seta S1,"Cannondale C2, UD Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,21,c1243dde-87a0-421e-843e-2a709f42df4c,SuperSix EVO Ultegra Di2 [2018],"$3,500","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer",Mavic Aksium WTS,Mavic Aksium,Mavic Aksium,"Mavic Yksion Elite, folding, 700x25c",Not included,"Cannondale Si, BB30a, w/ FSA Rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano Ultegra R8000, 11-28, 11-speed","Shimano Ultegra Di2 R8050 , braze-on",Shimano Ultegra Di2 R8050,Shimano Ultegra Di2 R8050,"Cannondale C2, 2014 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C2, 7050 Alloy, 31.8, 6 deg.","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano Ultegra R8000,Shimano Ultegra Di2 R8050,Selle Royal Seta S1,"Cannondale C2, UD Carbon, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,22,8aef91e4-fcca-4beb-b94a-6b6c0e526434,SuperSix EVO Disc Ultegra [2018],"$3,000","SuperSix EVO Disc, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon Disc, SAVE, 1-1/8"" to 1-1/4"" steerer, integrated crown race, 100x12mm thru-axle",Mavic Aksium Disc,"Mavic Aksium Disc Centerlock, 100x12 thru front, 135x9mm QR rear",Mavic Aksium,"Schwalbe Lugano, folding, 700x25c (CE- Mavic Yksion Elite, Folding, 700x25c)",Not included,"Cannondale Si, BB30a, FSA rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-28, 11-speed","Shimano Ultegra R8000, braze-on",Shimano Ultegra R8000,Shimano Ultegra R8020 hydro disc,"Cannondale C2, 2014 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C2, 7050 Alloy, 31.8, 6 deg.","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap","Shimano Ultegra R8020 hydro disc, flat mount, 160/140mm",Shimano Ultegra R8020 hydro disc,Selle Royal Seta S1,"Cannondale C3, 6061 Alloy, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,23,a35322af-90a8-4613-862f-a4abf5261c81,SuperSix EVO Ultegra [2018],"$2,600","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer",Mavic Aksium WTS,Mavic Aksium,Mavic Aksium,"Mavic Yksion Elite, folding, 700x25c",Not included,"Cannondale Si, BB30a, w/ FSA Rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-28, 11-speed","Shimano Ultegra R8000, braze-on",Shimano Ultegra R8000,Shimano Ultegra R8000,"Cannondale C2, 2014 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C2, 7050 Alloy, 31.8, 6 deg.","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano Ultegra R8000,Shimano Ultegra R8000,Selle Royal Seta S1,"Cannondale C3, 6061 Alloy, 25.4x350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,24,ee87db50-0bd9-4030-8cd2-2a955cd40a45,SuperSix EVO 105 [2018],"$2,100","SuperSix EVO, BallisTec Carbon, Di2 Compatible, SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon, SAVE, integrated crown race, 1-1/8"" to 1-1/4"" steerer",Mavic Aksium WTS,Mavic Aksium,Mavic Aksium,"Mavic Yksion Elite, folding, 700x25c",Not included,"Cannondale Si, BB30a, w/ FSA Rings, 52/36",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-28, 11-speed","Shimano 105, braze-on",Shimano 105,Shimano 105,"Cannondale C3, Butted 6061 Alloy, Compact","Cannondale Bar Tape w/Gel, 3.5mm","Cannondale C3, 6061 Alloy, 31.8, 6 deg.","SuperSix EVO, 1-1/4"" lower bearing, 25mm Alloy top cap",Shimano 105,Shimano 105,Selle Royal Seta S1,"Cannondale C3, 6061 Alloy, 25.4x350mm (44-56), 400mm (58-63)","44, 48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,25,21c19d16-833c-4c50-9a37-486595e5b14e,SuperSix EVO Disc A/M Frame [2018],"$2,500","SuperSix EVO Disc, BallisTec Carbon, Di2 Compatible, SPEED SAVE, PressFit BB30","SuperSix EVO, BallisTec Carbon Disc, SPEED SAVE, 1-1/8"" to 1-1/4"" steerer, integrated crown race, 100x12mm thru-axle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SuperSix EVO, 1-1/4"" lower bearing, 25mm top cap",NA,NA,NA,NA,"44, 48, 50, 52, 54, 56, 58, 60, 63",NA,NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,26,d744462c-ad76-4886-878d-cf6a8b3b8a21,CAAD12 Dura-Ace,"$3,675","CAAD12, SmartForm C1 Premium Alloy, SAVE, BB30a, Di2 Ready","CAAD12, BallisTec full carbon, SAVE, 1-1/8"" to 1-1/4"" steerer, integrated crown race","Fulcrum Racing 400 DB, Alloy clincher, 35mm deep","Fulcrum Racing 400 DB, 12x100 front, 12x142 rear","Fulcrum double-butted, Stainless, Bladed","Vittoria Rubino Pro Speed, 700 x 25c",Not Included,"Cannondale HollowGram Si, BB30a w/ power2max NG Eco Power Meter - Pre-Installed, Not Activated and FSA rings, 52/36",Cannondale BB30,"Shimano HG701, 11-speed","Shimano Ultegra, 11-30, 11-speed","Shimano Dura-Ace 9100, braze-on",Shimano Dura-Ace 9100,"Shimano Dura-Ace 9100, 2x11","Cannondale C1 Ultralight, 7050 Alloy, Compact",Prologo One Touch,"Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","CAAD12, 1-1/4"" lower bearing, 25mm top cap",Shimano Ultegra 8000,Shimano Dura-Ace 9100,Prologo Nago EVO PAS T2.0,"Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",7.4 kg / 16.4 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,27,7eb04b95-be74-4fcf-9716-01679a02d455,CAAD12 Ultegra,"$2,200","CAAD12, SmartForm C1 Premium Alloy, SAVE, BB30a, Di2 Ready","CAAD12, BallisTec full carbon, SAVE, 1-1/8"" to 1-1/4"" steerer, integrated crown race",Fulcrum Racing Sport,Fulcrum Racing Sport,Fulcrum Racing Sport,"Vittoria Zaffiro Pro Slick, 700 x 25c",Not Included,"Cannondale HollowGram Si, BB30a w/ OPI SpideRing, 52/36",Cannondale BB30,"Shimano HG701, 11-speed","Shimano Ultegra, 11-30, 11-speed","Shimano Ultegra, braze-on",Shimano Ultegra,"Shimano Ultegra, 2x11","Cannondale C2, 7050 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C2, 6061 Alloy, 31.8, 7-degree","CAAD12, 1-1/4"" lower bearing, 25mm top cap",Shimano Ultegra,Shimano Ultegra,Prologo Nago RS STN,"Cannondale C2, UD Carbon, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",7.7 kg / 17.0 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,28,cf45fceb-8921-4baa-8373-c9a483adefaf,CAAD12 Disc 105,"$2,050","CAAD12 Disc, SmartForm C1 Premium Alloy, SAVE, BB30a, Di2 Ready, flat-mount disc","CAAD12 Disc, BallisTec Carbon, SAVE, 1-1/8"" to 1-1/4"", integrated crown race, 12x100mm thru-axle","RD 2.0, 24h front, 28h rear","Formula RX-512 12x100 front, CX-22 QR rear","Stainless Steel, 14g","Vittoria Zaffiro Pro Slick, 700 x 25c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 52/36",Cannondale BB30,"Shimano HG601, 11-speed","Shimano 105, 11-30, 11-speed","Shimano 105 7000, braze-on",Shimano 105 7000,"Shimano 105 7000, 2x11","Cannondale C3, 6061 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C3, 6061 Alloy, 31.8, 7-degree","CAAD12, 1-1/4"" lower bearing, 25mm top cap","Shimano 105 7070 hydro disc, 160/160mm RT56 rotors",Shimano 105 7020 hydro disc,Prologo Nago RS STN,"Cannondale C3, 6061 Alloy, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",9.0 kg / 19.9 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Elite Road,39601f9a-273e-4fb0-9b81-f79c21570c4a,29,acff88f8-25cf-4420-8903-73156f28d094,CAAD12 105,"$1,575","CAAD12, SmartForm C1 Premium Alloy, SAVE, BB30a, Di2 Ready","CAAD12, BallisTec full carbon, SAVE, 1-1/8"" to 1-1/4"" steerer, integrated crown race",Fulcrum Racing Sport,Fulcrum Racing Sport,Fulcrum Racing Sport,"Vittoria Zaffiro Pro Slick, 700 x 25c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 52/36",Cannondale BB30,"Shimano HG601, 11-speed","Shimano 105, 11-30, 11-speed","Shimano 105, braze-on",Shimano 105,"Shimano 105, 2x11","Cannondale C3, 6061 Alloy, Compact",Prologo Plaintouch Cork,"Cannondale C3, 6061 Alloy, 31.8, 7-degree","CAAD12, 1-1/4"" lower bearing, 25mm top cap",Shimano 105 7000,Shimano 105 7000,Prologo Nago RS STN,"Cannondale C3, 6061 Alloy, 25.4 x 350mm (44-56), 400mm (58-63)","48, 50, 52, 54, 56, 58, 60, 63",8.3 kg / 18.2 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
